user_pseudo_id,qualifying_days,total_qualifying_minutes,visit_dates,countries,regions,cities,device_categories,operating_systems,traffic_sources,traffic_mediums,events_triggered,conversion_events
1020560882.1760989769,3,25.700566666666667,"2025-11-02, 2025-11-03, 2025-11-04",Sweden,Stockholm County,Stockholm,mobile,iOS,(direct),(none),"session_start, page_view, user_engagement, click",
803412122.1762199806,2,17.6338,"2025-11-03, 2025-11-04",United States,Connecticut,Bloomfield,desktop,Windows,(direct),(none),"session_start, page_view, user_engagement, scroll, form_start, form_submit, view_search_results, first_visit",
