week	country	total_views	avg_views	views_above_avg	pct_above_avg
2025-11-03	United States	6049	76.29523809523809	5972.704761904762	7828.410934964424
2025-11-03	Canada	560	76.29523809523809	483.7047619047619	633.9907627012858
2025-11-03	Australia	236	76.29523809523809	159.7047619047619	209.32467856697042
2025-11-03	United Kingdom	228	76.29523809523809	151.7047619047619	198.83909624266636
2025-10-27	United States	16152	173.76470588235293	15978.235294117647	9195.32836831415
2025-10-27	Canada	1530	173.76470588235293	1356.235294117647	780.5010155721056
2025-10-27	Australia	680	173.76470588235293	506.2352941176471	291.3337846987136
2025-10-27	United Kingdom	464	173.76470588235293	290.2352941176471	167.02775897088696
2025-10-20	United States	13672	148.5344827586207	13523.465517241379	9104.596633778292
2025-10-20	Canada	1150	148.5344827586207	1001.4655172413793	674.2309924550202
2025-10-20	Australia	405	148.5344827586207	256.4655172413793	172.66395821242017
2025-10-20	United Kingdom	386	148.5344827586207	237.4655172413793	159.87231572838073
2025-10-13	United States	9042	107.14414414414415	8934.855855855856	8339.098629445893
2025-10-13	Canada	1035	107.14414414414415	927.8558558558559	865.9883965357773
2025-10-13	Australia	377	107.14414414414415	269.85585585585585	251.86244009080968
2025-10-13	United Kingdom	289	107.14414414414415	181.85585585585585	169.73009333221222
2025-10-06	United States	8013	100.01869158878505	7912.981308411215	7911.502522892917
2025-10-06	Canada	916	100.01869158878505	815.981308411215	815.8288170435434
2025-10-06	Australia	280	100.01869158878505	179.98130841121497	179.94767333208748
2025-10-06	United Kingdom	242	100.01869158878505	141.98130841121497	141.954774808447
2025-09-29	United States	6078	84.60576923076923	5993.3942307692305	7083.9072621888845
2025-09-29	Canada	740	84.60576923076923	655.3942307692307	774.6448460052278
2025-09-29	Australia	398	84.60576923076923	313.3942307692308	370.41709285146044
2025-09-29	United Kingdom	243	84.60576923076923	158.39423076923077	187.21445618820323
2025-09-22	United States	5989	80.8	5908.2	7312.128712871287
2025-09-22	Canada	775	80.8	694.2	859.1584158415843
2025-09-22	Australia	311	80.8	230.2	284.9009900990099
2025-09-22	United Kingdom	203	80.8	122.2	151.23762376237624
2025-09-22	Mexico	147	80.8	66.2	81.93069306930694
2025-09-15	United States	6570	88.92380952380952	6481.07619047619	7288.347434936274
2025-09-15	Canada	755	88.92380952380952	666.0761904761905	749.0414480025705
2025-09-15	Australia	402	88.92380952380952	313.0761904761905	352.07240012852094
2025-09-15	United Kingdom	282	88.92380952380952	193.07619047619048	217.1254150155296
2025-09-08	United States	6610	87.0	6523.0	7497.701149425287
2025-09-08	Canada	799	87.0	712.0	818.3908045977012
2025-09-08	Australia	386	87.0	299.0	343.67816091954023
2025-09-08	United Kingdom	211	87.0	124.0	142.52873563218392
2025-09-01	United States	9344	120.0673076923077	9223.932692307691	7682.301593657402
2025-09-01	Canada	1086	120.0673076923077	965.9326923076923	804.4926723792744
2025-09-01	Australia	399	120.0673076923077	278.9326923076923	232.3136061503964
2025-09-01	United Kingdom	270	120.0673076923077	149.93269230769232	124.87386882357654
2025-08-25	United States	9502	118.66666666666667	9383.333333333334	7907.303370786516
2025-08-25	Canada	1103	118.66666666666667	984.3333333333334	829.4943820224719
2025-08-25	Australia	384	118.66666666666667	265.3333333333333	223.59550561797752
2025-08-25	United Kingdom	262	118.66666666666667	143.33333333333331	120.78651685393255
2025-08-25	Mexico	183	118.66666666666667	64.33333333333333	54.21348314606741
2025-08-18	United States	8103	107.47619047619048	7995.523809523809	7439.3442622950815
2025-08-18	Canada	978	107.47619047619048	870.5238095238095	809.9689853788213
2025-08-18	Australia	485	107.47619047619048	377.5238095238095	351.262738147984
2025-08-18	United Kingdom	248	107.47619047619048	140.52380952380952	130.7487815684537
2025-08-11	United States	7933	109.21904761904761	7823.780952380952	7163.385071503313
2025-08-11	Canada	1063	109.21904761904761	953.7809523809524	873.2734565748169
2025-08-11	Australia	543	109.21904761904761	433.7809523809524	397.16602720613884
2025-08-11	United Kingdom	287	109.21904761904761	177.78095238095239	162.7746773630973
2025-08-04	United States	8143	102.48275862068965	8040.517241379311	7845.726783310903
2025-08-04	Canada	1137	102.48275862068965	1034.5172413793102	1009.4549125168236
2025-08-04	Australia	529	102.48275862068965	426.51724137931035	416.1843876177659
2025-08-04	United Kingdom	310	102.48275862068965	207.51724137931035	202.4899057873486
2025-07-28	United States	8558	104.94871794871794	8453.051282051281	8054.458832152456
2025-07-28	Canada	1025	104.94871794871794	920.0512820512821	876.6674810652335
2025-07-28	Australia	631	104.94871794871794	526.0512820512821	501.2460298069876
2025-07-28	United Kingdom	324	104.94871794871794	219.05128205128204	208.7222086489128
2025-07-21	United States	7198	98.76635514018692	7099.2336448598135	7187.906888720667
2025-07-21	Canada	937	98.76635514018692	838.2336448598131	848.7036336109009
2025-07-21	Australia	632	98.76635514018692	533.2336448598131	539.894019682059
2025-07-21	United Kingdom	265	98.76635514018692	166.23364485981307	168.30999242997726
2025-07-14	United States	9769	124.29729729729729	9644.702702702703	7759.382474450969
2025-07-14	Canada	1182	124.29729729729729	1057.7027027027027	850.945857795173
2025-07-14	Australia	849	124.29729729729729	724.7027027027027	583.0397912589694
2025-07-14	United Kingdom	370	124.29729729729729	245.7027027027027	197.67340726244836
2025-07-07	United States	7207	97.59633027522936	7109.40366972477	7284.498965971046
2025-07-07	Canada	980	97.59633027522936	882.4036697247707	904.1361158112427
2025-07-07	Australia	657	97.59633027522936	559.4036697247707	573.1810490693739
2025-07-07	United Kingdom	350	97.59633027522936	252.40366972477062	258.6200413611581
