week_start,country,current_users,prev_users,pct_change,median_pct_change_for_week,median_users_for_week,avg_pct_change_for_week,avg_users_for_week,pct_above_median,users_above_median
2025-11-03,United States,7753,3106,149.6,108.3,9.0,221.1,119.0,41.3,7744.0
2025-11-03,Canada,748,313,139.0,108.3,9.0,221.1,119.0,30.6,739.0
