week	avg_views	total_views	week_ratio
2025-06-16	72.85714285714286	7140	0.6897657484167716
2025-06-23	117.55357142857143	13166	1.1129235102518646
2025-06-30	97.12612612612612	10781	0.9195292657793411
2025-07-07	97.59633027522936	10638	0.9239808638532706
2025-07-14	124.29729729729729	13797	1.176768878578756
2025-07-21	98.76635514018692	10568	0.9350579256895565
2025-07-28	104.94871794871794	12279	0.9935886605273464
2025-08-04	102.48275862068965	11888	0.9702425037229557
2025-08-11	109.21904761904761	11468	1.0340174644239917
2025-08-18	107.47619047619048	11285	1.017517185736375
2025-08-25	118.66666666666667	12816	1.1234615980748985
2025-09-01	120.0673076923077	12487	1.136721989128235
2025-09-08	87.0	9222	0.8236614525212037
2025-09-15	88.92380952380952	9337	0.8418748748976989
2025-09-22	80.8	8484	0.7649637398127961
2025-09-29	84.60576923076923	8799	0.8009943767389557
2025-10-06	100.01869158878505	10702	0.9469142619918275
2025-10-13	107.14414414414415	11893	1.0143735792518045
2025-10-20	148.5344827586207	17230	1.4062313542350713
2025-10-27	173.76470588235293	20678	1.6450952878618226
2025-11-03	76.29523809523809	8011	0.7223154785054584
